Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status,ticket_price,seating_type
37434,Halie,Jewar,Female,53,France,Wiley Post Will Rogers Memorial Airport,US,United States,NAM,North America,12-05-2022,BRW,Halie Jewar,Delayed,48189,Business
14605,Jessamyn,Buddles,Female,6,Peru,Gamboma Airport,CG,Congo,AF,Africa,04-09-2022,GMM,Jessamyn Buddles,Delayed,16336,Business
85889,Clevie,Clubbe,Male,35,China,Kasaba Bay Airport,ZM,Zambia,AF,Africa,4/14/2022,ZKB,Clevie Clubbe,Delayed,18371,Business
30642,Magdalen,Claiden,Female,14,China,Faleolo International Airport,WS,Samoa,OC,Oceania,7/22/2022,APW,Magdalen Claiden,Delayed,78128,First Class
64535,Celina,Boothebie,Female,58,Latvia,Gorge Harbour Seaplane Base,CA,Canada,NAM,North America,08-05-2022,YGE,Celina Boothebie,Cancelled,9080,Economy
99480,Murvyn,Duff,Male,19,Germany,Nesson Airport,NC,New Caledonia,OC,Oceania,3/25/2022,HLU,Murvyn Duff,Cancelled,68168,First Class
43000,Lyndsie,Dyball,Female,22,Czech Republic,Malabo Airport,GQ,Equatorial Guinea,AF,Africa,9/23/2022,SSG,Lyndsie Dyball,Delayed,49781,Business
19205,Ashlie,Rotham,Female,44,Ireland,Zahn's Airport,US,United States,NAM,North America,11/23/2022,AYZ,Ashlie Rotham,Delayed,3847,Economy
90756,Gardiner,Ferbrache,Male,9,Sweden,Gora Airstrip,PG,Papua New Guinea,OC,Oceania,6/25/2022,GOC,Gardiner Ferbrache,On Time,49233,Business
88025,Rudolph,Housbie,Male,74,Iran,Campbell River Airport,CA,Canada,NAM,North America,7/22/2022,YBL,Rudolph Housbie,Delayed,40582,Business
58677,Dun,Craythorn,Male,32,China,Moki Airport,PG,Papua New Guinea,OC,Oceania,12/21/2022,MJJ,Dun Craythorn,Cancelled,2656,Economy
75426,Dasha,Eppson,Female,37,Indonesia,Bairnsdale Airport,AU,Australia,OC,Oceania,01-11-2022,BSJ,Dasha Eppson,On Time,3964,Economy
55152,Bibby,Evershed,Female,73,Indonesia,Colonel Hill Airport,BS,Bahamas,NAM,North America,12-11-2022,CRI,Bibby Evershed,Delayed,9410,Economy
22827,Ransom,Chippindale,Male,54,Peru,Minlaton Airport,AU,Australia,OC,Oceania,12/15/2022,XML,Ransom Chippindale,On Time,76467,First Class
39880,Zelig,Brinded,Male,61,Brazil,Cincinnati Northern Kentucky International Airport,US,United States,NAM,North America,6/16/2022,CVG,Zelig Brinded,On Time,42251,Business
80852,Rosalyn,Vondrys,Female,56,China,Rar Gwamar Airport,ID,Indonesia,AS,Asia,07-08-2022,DOB,Rosalyn Vondrys,Delayed,1722,Economy
93761,Lamond,Ahmed,Male,21,Croatia,Sawyer International Airport,US,United States,NAM,North America,5/17/2022,MQT,Lamond Ahmed,Cancelled,50239,First Class
18862,Anders,Treadger,Male,62,Madagascar,Mirny Airport,RU,Russian Federation,AS,Asia,2/21/2022,MJZ,Anders Treadger,On Time,37283,Business
59791,Haroun,holmes,Male,54,United States,Susanville Municipal Airport,US,United States,NAM,North America,3/21/2022,SVE,Haroun holmes,On Time,27656,Business
85166,Kristan,Metzing,Female,37,Peru,Wichita Eisenhower National Airport,US,United States,NAM,North America,11-08-2022,ICT,Kristan Metzing,Delayed,61192,First Class
89925,Willie,Netherwood,Male,85,Russia,Kavieng Airport,PG,Papua New Guinea,OC,Oceania,6/22/2022,KVG,Willie Netherwood,On Time,27355,Business
95024,Aldon,Ridsdell,Male,24,Ghana,Arapiraca Airport,BR,Brazil,SAM,South America,4/26/2022,APQ,Aldon Ridsdell,Delayed,76936,First Class
11983,Chrotoem,Abels,Male,62,Russia,Port Lincoln Airport,AU,Australia,OC,Oceania,03-06-2022,PLO,Chrotoem Abels,On Time,73824,First Class
74921,Andy,Kettleson,Male,50,China,Roboré Airport,BO,"Bolivia, Plurinational State of",SAM,South America,5/13/2022,RBO,Andy Kettleson,Cancelled,68874,First Class
35159,Dredi,Curd,Female,45,Russia,Gaspé (Michel-Pouliot) Airport,CA,Canada,NAM,North America,5/15/2022,YGP,Dredi Curd,Cancelled,71956,First Class
26878,Tessy,Athelstan,Female,83,Sweden,Kenmore Air Harbor Seaplane Base,US,United States,NAM,North America,12-08-2022,LKE,Tessy Athelstan,On Time,23408,Business
44556,Tamas,Vigneron,Male,58,Mali,Diamantina Lakes Airport,AU,Australia,OC,Oceania,11/23/2022,DYM,Tamas Vigneron,Delayed,54301,First Class
12928,Gnni,Chaperling,Female,17,Brazil,Quzhou Airport,CN,China,AS,Asia,9/22/2022,JUZ,Gnni Chaperling,On Time,70833,First Class
66358,Margaux,Lattin,Female,76,Guatemala,McGhee Tyson Airport,US,United States,NAM,North America,02-07-2022,TYS,Margaux Lattin,Delayed,16663,Business
90029,Anabella,Tutchings,Female,51,China,Mulika Lodge Airport,KE,Kenya,AF,Africa,7/27/2022,JJM,Anabella Tutchings,Cancelled,29863,Business
63026,Joeann,Gotcliff,Female,77,Kyrgyzstan,Badu Island Airport,AU,Australia,OC,Oceania,11/24/2022,BDD,Joeann Gotcliff,Delayed,42656,Business
69358,Peri,Battram,Female,16,Peru,Putao Airport,MM,Myanmar,AS,Asia,12/18/2022,PBU,Peri Battram,Cancelled,61263,First Class
94580,Eugenius,Headon,Male,77,Ukraine,Ouahigouya Airport,BF,Burkina Faso,AF,Africa,4/29/2022,OUG,Eugenius Headon,On Time,11465,Economy
71627,Erwin,Baise,Male,12,Haiti,Tahsis Seaplane Base,CA,Canada,NAM,North America,1/31/2022,ZTS,Erwin Baise,Cancelled,78849,First Class
77742,Leta,Tartt,Female,62,Afghanistan,Albert Lea Municipal Airport,US,United States,NAM,North America,07-05-2022,AEL,Leta Tartt,On Time,74551,First Class
68903,Lilli,Sarath,Female,87,Sweden,White Mountain Airport,US,United States,NAM,North America,7/20/2022,WMO,Lilli Sarath,Delayed,42225,Business
80181,Franz,Roset,Male,23,Greece,Southwest Florida International Airport,US,United States,NAM,North America,3/24/2022,RSW,Franz Roset,Cancelled,54153,First Class
39602,Natalya,Offner,Female,23,Czech Republic,South Galway Airport,AU,Australia,OC,Oceania,11-10-2022,ZGL,Natalya Offner,Cancelled,34255,Business
15441,Genevra,Shipperbottom,Female,41,Ethiopia,Doini Airport,PG,Papua New Guinea,OC,Oceania,07-06-2022,DOI,Genevra Shipperbottom,On Time,64662,First Class
45018,Francine,Adolfsen,Female,54,Indonesia,Nanjing Lukou Airport,CN,China,AS,Asia,10-11-2022,NKG,Francine Adolfsen,Cancelled,53759,First Class
68356,Cairistiona,Tummond,Female,52,Tanzania,Mundo Maya International Airport,GT,Guatemala,NAM,North America,5/25/2022,FRS,Cairistiona Tummond,Cancelled,35916,Business
23779,Kelci,Colliver,Female,39,China,Matsu Nangan Airport,TW,"Taiwan, Province of China",AS,Asia,10/27/2022,LZN,Kelci Colliver,On Time,43954,Business
16341,Denys,Endricci,Male,33,Nigeria,Biju Patnaik Airport,IN,India,AS,Asia,7/22/2022,BBI,Denys Endricci,Delayed,74523,First Class
12072,Findley,Godleman,Male,89,Indonesia,Tamchakett Airport,MR,Mauritania,AF,Africa,10/25/2022,THT,Findley Godleman,Delayed,72777,First Class
95613,Fidelio,Guerry,Male,3,China,Yuruf Airport,ID,Indonesia,AS,Asia,05-02-2022,RUF,Fidelio Guerry,Delayed,44584,Business
93631,Krishnah,Dabels,Male,54,Russia,Monte Carmelo Airport,BR,Brazil,SAM,South America,9/14/2022,0,Krishnah Dabels,On Time,26569,Business
25310,Diannne,Samter,Female,73,Cameroon,Vadsø Airport,NO,Norway,EU,Europe,11/25/2022,VDS,Diannne Samter,Cancelled,18684,Business
41015,Inge,Hewins,Female,30,Morocco,Fakfak Airport,ID,Indonesia,AS,Asia,04-09-2022,FKQ,Inge Hewins,Cancelled,17040,Business
92933,Dermot,Stainburn,Male,54,Armenia,Islita Airport,CR,Costa Rica,NAM,North America,7/15/2022,PBP,Dermot Stainburn,Cancelled,61589,First Class
97267,Ajay,Durward,Female,26,Russia,João Paulo II Airport,PT,Portugal,EU,Europe,8/26/2022,PDL,Ajay Durward,On Time,79655,First Class
82767,Constancy,Darke,Female,51,China,Batticaloa Airport,LK,Sri Lanka,AS,Asia,02-12-2022,BTC,Constancy Darke,Cancelled,36194,Business
19411,Cy,Servante,Male,78,China,Omar N Bradley Airport,US,United States,NAM,North America,5/19/2022,MBY,Cy Servante,Cancelled,40932,Business
90638,Lennard,Giorgi,Male,43,Peru,Lihue Airport,US,United States,NAM,North America,1/31/2022,LIH,Lennard Giorgi,On Time,65858,First Class
38712,Cordie,Rosenberger,Female,3,Brazil,Spirit of St Louis Airport,US,United States,NAM,North America,7/17/2022,SUS,Cordie Rosenberger,On Time,77294,First Class
14976,Noelyn,Penquet,Female,80,Brazil,Tahsis Seaplane Base,CA,Canada,NAM,North America,11/16/2022,ZTS,Noelyn Penquet,On Time,79547,First Class
49845,Frank,Greenhough,Male,52,Philippines,Mururoa Atoll Airport,PF,French Polynesia,OC,Oceania,02-06-2022,UOA,Frank Greenhough,On Time,48091,Business
11630,Tan,Connold,Male,73,Sweden,Denver International Airport,US,United States,NAM,North America,05-07-2022,DEN,Tan Connold,On Time,1164,Economy
24402,Star,Casford,Female,49,Greece,Arly Airport,BF,Burkina Faso,AF,Africa,10/29/2022,ARL,Star Casford,Cancelled,56292,First Class
25907,Travers,Selwyne,Male,85,Colombia,Springfield Branson National Airport,US,United States,NAM,North America,08-09-2022,SGF,Travers Selwyne,Cancelled,69526,First Class
16277,Randie,Jankin,Male,68,Mexico,Paradise Island Airport,MZ,Mozambique,AF,Africa,10/29/2022,NTC,Randie Jankin,On Time,46478,Business
60017,Henryetta,Noice,Female,36,Chile,Merritt Airport,CA,Canada,NAM,North America,11-03-2022,YMB,Henryetta Noice,Delayed,41155,Business
40870,Fons,Schrieves,Male,14,Albania,Naval Outlying Field Imperial Beach (Ream Field),US,United States,NAM,North America,9/26/2022,NRS,Fons Schrieves,On Time,62660,First Class
30481,Lissa,Thynn,Female,74,Luxembourg,In Guezzam Airport,DZ,Algeria,AF,Africa,1/20/2022,INF,Lissa Thynn,Delayed,70999,First Class
95434,Mattias,Darrell,Male,78,Honduras,Aldan Airport,RU,Russian Federation,AS,Asia,08-07-2022,ADH,Mattias Darrell,Cancelled,20552,Business
86701,Cirilo,Camoletto,Male,19,China,Bhojpur Airport,NP,Nepal,AS,Asia,12-10-2022,BHP,Cirilo Camoletto,Delayed,5962,Economy
46273,Aeriela,Clarke,Female,70,Portugal,Gorna Oryahovitsa Airport,BG,Bulgaria,EU,Europe,9/25/2022,GOZ,Aeriela Clarke,On Time,69069,First Class
84184,Marjory,Franz,Female,46,Nigeria,Hattiesburg Laurel Regional Airport,US,United States,NAM,North America,7/27/2022,PIB,Marjory Franz,Cancelled,47811,Business
99708,Rodolph,Grewcock,Male,23,Kazakhstan,Nalchik Airport,RU,Russian Federation,EU,Europe,11/26/2022,NAL,Rodolph Grewcock,Delayed,21511,Business
38663,Justinn,Ishchenko,Female,54,Pakistan,Venice Municipal Airport,US,United States,NAM,North America,04-01-2022,VNC,Justinn Ishchenko,On Time,52558,First Class
46615,Winne,Cowland,Female,73,France,Tanda Tula Airport,ZA,South Africa,AF,Africa,6/17/2022,TDT,Winne Cowland,Cancelled,8990,Economy
76666,Gabriella,Patry,Female,65,China,Lar Airport,IR,"Iran, Islamic Republic of",AS,Asia,7/31/2022,LRR,Gabriella Patry,Delayed,47349,Business
59755,Tann,McCroary,Male,2,Poland,Stewart International Airport,US,United States,NAM,North America,07-06-2022,SWF,Tann McCroary,Cancelled,73774,First Class
16470,Ebony,Knappitt,Female,7,Russia,Genoa Cristoforo Colombo Airport,IT,Italy,EU,Europe,12/18/2022,GOA,Ebony Knappitt,On Time,8408,Economy
34176,Piggy,Hugle,Male,39,Philippines,Buka Airport,PG,Papua New Guinea,OC,Oceania,10/29/2022,BUA,Piggy Hugle,Delayed,44176,Business
67654,Lisle,Floyd,Male,25,China,Copán Ruinas Airport,HN,Honduras,NAM,North America,7/14/2022,RUY,Lisle Floyd,On Time,30481,Business
93619,Leroi,Raeburn,Male,88,Brazil,Waycross Ware County Airport,US,United States,NAM,North America,9/17/2022,AYS,Leroi Raeburn,Cancelled,12101,Economy
72572,Nicole,Gages,Female,54,South Africa,En Nahud Airport,SD,Sudan,AF,Africa,5/18/2022,NUD,Nicole Gages,Cancelled,50149,First Class
56995,Mariele,Lucius,Female,33,Ukraine,Memorial Field,US,United States,NAM,North America,11/28/2022,HOT,Mariele Lucius,Cancelled,20387,Business
40102,Sherwood,Woolaston,Male,80,Portugal,Tarama Airport,JP,Japan,AS,Asia,4/13/2022,TRA,Sherwood Woolaston,On Time,31386,Business
12578,Ag,Gumby,Female,76,China,Akita Airport,JP,Japan,AS,Asia,06-03-2022,AXT,Ag Gumby,Delayed,79805,First Class
52420,Basil,Canon,Male,18,Portugal,Hatzfeldhaven Airport,PG,Papua New Guinea,OC,Oceania,5/25/2022,HAZ,Basil Canon,Cancelled,69540,First Class
25323,Care,Kearton,Male,4,Kenya,Tapini Airport,PG,Papua New Guinea,OC,Oceania,7/30/2022,TPI,Care Kearton,Cancelled,47715,Business
64660,Violetta,Francois,Female,85,Indonesia,Casa De Campo International Airport,DO,Dominican Republic,NAM,North America,04-04-2022,LRM,Violetta Francois,Delayed,35910,Business
78937,Adlai,Tilmouth,Male,49,Serbia,Owatonna Degner Regional Airport,US,United States,NAM,North America,01-04-2022,OWA,Adlai Tilmouth,On Time,2463,Economy
27716,Gwenore,Smaridge,Female,7,Russia,Handan Airport,CN,China,AS,Asia,03-08-2022,HDG,Gwenore Smaridge,Delayed,39293,Business
34872,Kurt,Marling,Male,65,Indonesia,Mal Airport,PG,Papua New Guinea,OC,Oceania,10/26/2022,MMV,Kurt Marling,Delayed,72598,First Class
65726,Artemus,Brewitt,Male,27,China,Fáskrúðsfjörður Airport,IS,Iceland,EU,Europe,1/13/2022,FAS,Artemus Brewitt,On Time,30010,Business
64178,Sergio,Edmonson,Male,10,Sweden,Omora Airport,PG,Papua New Guinea,OC,Oceania,08-01-2022,OSE,Sergio Edmonson,On Time,49876,Business
41626,Maia,Kidwell,Female,45,Philippines,Fort Mcpherson Airport,CA,Canada,NAM,North America,12-04-2022,ZFM,Maia Kidwell,Delayed,30718,Business
86568,Reinaldo,Caines,Male,76,Indonesia,Newcastle Airport,GB,United Kingdom,EU,Europe,3/17/2022,NCL,Reinaldo Caines,On Time,49658,Business
26009,Lincoln,Casburn,Male,6,Vietnam,Guanghan Airport,CN,China,AS,Asia,2/24/2022,GHN,Lincoln Casburn,Cancelled,14417,Economy
52463,Kelsy,Danhel,Female,21,Indonesia,Pureni Airport,PG,Papua New Guinea,OC,Oceania,8/15/2022,PUI,Kelsy Danhel,Delayed,52535,First Class
48885,Des,Sutehall,Male,65,Indonesia,Long Island Airport,PG,Papua New Guinea,OC,Oceania,10/23/2022,LSJ,Des Sutehall,Cancelled,62061,First Class
35628,Darnall,Comfort,Male,72,Russia,Xinzhou Wutaishan Airport,CN,China,AS,Asia,4/27/2022,WUT,Darnall Comfort,Cancelled,44998,Business
29073,Bernardo,Bigland,Male,79,Philippines,Bandar Lengeh Airport,IR,"Iran, Islamic Republic of",AS,Asia,12-05-2022,BDH,Bernardo Bigland,Cancelled,63132,First Class
36560,Cymbre,Steeden,Female,55,Russia,Canarana Airport,BR,Brazil,SAM,South America,9/26/2022,CQA,Cymbre Steeden,Cancelled,26111,Business
60038,Leandra,Demer,Female,6,Colombia,Cà Mau Airport,VN,Viet Nam,AS,Asia,1/13/2022,CAH,Leandra Demer,Cancelled,59662,First Class
61283,Shermy,Gatchell,Male,66,Colombia,Tezu Airport,IN,India,AS,Asia,5/23/2022,TEI,Shermy Gatchell,Delayed,47875,Business
13487,Bryn,Pratley,Female,56,Maldives,Krasnoselkup Airport,RU,Russian Federation,EU,Europe,8/19/2022,KKQ,Bryn Pratley,On Time,10144,Economy
47082,Eran,Summerill,Female,62,Afghanistan,Monte Dourado Airport,BR,Brazil,SAM,South America,12/28/2022,MEU,Eran Summerill,On Time,48670,Business
17122,Arlena,Ridwood,Female,65,Ireland,Awaba Airport,PG,Papua New Guinea,OC,Oceania,10/28/2022,AWB,Arlena Ridwood,Delayed,41614,Business
81645,Rozelle,Neubigin,Female,74,China,Al Thaurah Airport,SY,Syrian Arab Republic,AS,Asia,11/15/2022,SOR,Rozelle Neubigin,Delayed,57626,First Class
34533,Jacenta,Linner,Female,38,Argentina,Sibiu International Airport,RO,Romania,EU,Europe,12/24/2022,SBZ,Jacenta Linner,Cancelled,40909,Business
63937,Mariann,Wilshin,Female,80,China,Panguitch Municipal Airport,US,United States,NAM,North America,10/19/2022,PNU,Mariann Wilshin,Delayed,63653,First Class
20726,Jedidiah,Malins,Male,66,Indonesia,Cue Airport,AU,Australia,OC,Oceania,10/16/2022,CUY,Jedidiah Malins,Cancelled,46886,Business
58025,Rory,Wank,Female,84,Japan,Ilam Airport,IR,"Iran, Islamic Republic of",AS,Asia,10/21/2022,IIL,Rory Wank,Cancelled,6176,Economy
22792,Modesty,Zink,Female,11,Ukraine,Soledade Airport,BR,Brazil,SAM,South America,10-03-2022,0,Modesty Zink,Cancelled,43161,Business
88148,Newton,Berni,Male,52,Argentina,Helenvale Airport,AU,Australia,OC,Oceania,05-02-2022,HLV,Newton Berni,Delayed,25616,Business
47567,Sybila,Troker,Female,8,Indonesia,Dalhart Municipal Airport,US,United States,NAM,North America,04-08-2022,DHT,Sybila Troker,On Time,62765,First Class
14238,Jewel,Betteney,Female,66,China,Yam Island Airport,AU,Australia,OC,Oceania,12/27/2022,XMY,Jewel Betteney,On Time,69056,First Class
17437,Hobie,Skace,Male,70,China,St George Airport,AU,Australia,OC,Oceania,07-12-2022,SGO,Hobie Skace,Delayed,53241,First Class
82660,Loree,Fishpond,Female,37,Ukraine,Dallas Love Field,US,United States,NAM,North America,5/31/2022,DAL,Loree Fishpond,On Time,43749,Business
74440,Gauthier,Elsip,Male,33,Uruguay,Gerrard Smith International Airport,KY,Cayman Islands,NAM,North America,06-11-2022,CYB,Gauthier Elsip,Cancelled,71045,First Class
53681,Gisella,Watters,Female,35,Philippines,RAF Wildenrath,DE,Germany,EU,Europe,2/17/2022,WID,Gisella Watters,Cancelled,12388,Economy
92243,Flora,Delgardillo,Female,51,Philippines,General Lucio Blanco International Airport,MX,Mexico,NAM,North America,10/19/2022,REX,Flora Delgardillo,On Time,79477,First Class
46701,Dorthea,Wealleans,Female,6,China,Wantoat Airport,PG,Papua New Guinea,OC,Oceania,11/30/2022,WTT,Dorthea Wealleans,On Time,14911,Economy
49095,Arlyn,Boole,Female,45,Philippines,Sofia Airport,BG,Bulgaria,EU,Europe,1/20/2022,SOF,Arlyn Boole,On Time,35292,Business
50314,Jameson,Sayce,Male,53,Brazil,Antônio Guerreiro Airport,BR,Brazil,SAM,South America,9/16/2022,GMS,Jameson Sayce,On Time,51425,First Class
35643,Collin,Ciepluch,Male,54,China,Central Maine Airport of Norridgewock,US,United States,NAM,North America,4/13/2022,OWK,Collin Ciepluch,Delayed,70103,First Class
56006,Francoise,Mustill,Female,76,Netherlands,Lawson Army Air Field (Fort Benning),US,United States,NAM,North America,7/21/2022,LSF,Francoise Mustill,Delayed,15044,Business
64843,Peterus,Lettson,Male,70,Botswana,Ust-Maya Airport,RU,Russian Federation,EU,Europe,11-10-2022,UMS,Peterus Lettson,Delayed,35301,Business
62061,Yuri,Crossfield,Male,38,Peru,Dalby Airport,AU,Australia,OC,Oceania,5/15/2022,DBY,Yuri Crossfield,On Time,68582,First Class
29696,Kirbee,Wrenn,Female,45,Armenia,Lučenec Airport,SK,Slovakia,EU,Europe,7/27/2022,LUE,Kirbee Wrenn,On Time,59583,First Class
75962,Rici,Rein,Female,85,Russia,Meghauli Airport,NP,Nepal,AS,Asia,2/26/2022,MEY,Rici Rein,Delayed,49746,Business
42432,Anestassia,Vauls,Female,20,Albania,Nikolai Airport,US,United States,NAM,North America,08-11-2022,NIB,Anestassia Vauls,On Time,32186,Business
44187,Virgil,Markussen,Male,79,Philippines,Bemidji Regional Airport,US,United States,NAM,North America,6/19/2022,BJI,Virgil Markussen,Cancelled,45218,Business
42979,Marlin,Yegorev,Male,25,Egypt,Muhammad Salahuddin Airport,ID,Indonesia,AS,Asia,8/28/2022,BMU,Marlin Yegorev,Cancelled,8904,Economy
71429,Clemmie,Harbertson,Male,76,Ukraine,"Magdeburg ""City"" Airport",DE,Germany,EU,Europe,12-06-2022,ZMG,Clemmie Harbertson,Cancelled,57428,First Class
95524,Happy,Jaskowicz,Female,82,Mexico,Tsletsi Airport,DZ,Algeria,AF,Africa,11-01-2022,QDJ,Happy Jaskowicz,Cancelled,41394,Business
95185,Quentin,Plaschke,Male,37,Syria,Groote Eylandt Airport,AU,Australia,OC,Oceania,3/30/2022,GTE,Quentin Plaschke,On Time,15544,Business
24415,Paulie,Dunnet,Male,37,Serbia,Lemhi County Airport,US,United States,NAM,North America,1/23/2022,SMN,Paulie Dunnet,Delayed,2760,Economy
48147,Wilma,Burdytt,Female,72,Poland,Green River Airport,PG,Papua New Guinea,OC,Oceania,07-11-2022,GVI,Wilma Burdytt,On Time,39581,Business
30237,Cobbie,Imorts,Male,18,Croatia,Kenai Municipal Airport,US,United States,NAM,North America,07-03-2022,ENA,Cobbie Imorts,Delayed,67753,First Class
63186,Murry,Entreis,Male,86,Russia,Margaret River (Station) Airport,AU,Australia,OC,Oceania,12/15/2022,MGV,Murry Entreis,On Time,27515,Business
49923,George,Wildber,Female,32,Brazil,Abraham Lincoln Capital Airport,US,United States,NAM,North America,4/25/2022,SPI,George Wildber,Delayed,11481,Economy
54907,Bethany,Corona,Female,62,Tanzania,Shahid Sadooghi Airport,IR,"Iran, Islamic Republic of",AS,Asia,8/16/2022,AZD,Bethany Corona,Cancelled,14229,Economy
85619,Carolann,Yves,Female,89,Poland,Arathusa Safari Lodge Airport,ZA,South Africa,AF,Africa,10-07-2022,ASS,Carolann Yves,Cancelled,15512,Business
78751,Benson,Hook,Male,29,Indonesia,Bewani Airport,PG,Papua New Guinea,OC,Oceania,11/29/2022,BWP,Benson Hook,On Time,63901,First Class
60100,Dunstan,Fyrth,Male,42,China,Jwaneng Airport,BW,Botswana,AF,Africa,3/28/2022,JWA,Dunstan Fyrth,On Time,14283,Economy
80927,Rutger,Georgeon,Male,54,Myanmar,Turaif Domestic Airport,SA,Saudi Arabia,AS,Asia,02-08-2022,TUI,Rutger Georgeon,Cancelled,76026,First Class
84952,Gearalt,Bynold,Male,1,China,Nueva Loja Airport,EC,Ecuador,SAM,South America,12/17/2022,LGQ,Gearalt Bynold,Delayed,69860,First Class
82361,Ferrel,Elphey,Male,7,Slovenia,Southern Seaplane Airport,US,United States,NAM,North America,3/26/2022,BCS,Ferrel Elphey,Cancelled,54423,First Class
49563,Magda,Nealand,Female,66,United States,Wanuma Airport,PG,Papua New Guinea,OC,Oceania,09-01-2022,WNU,Magda Nealand,Cancelled,5003,Economy
